"Time of Day","Process Name","PID","Operation","Path","Result","Detail"
"20:54:33,0613682","devenv.exe","19016","CreateFile","C:\Users\svto\.nuget\packages\Libuv\1.9.1\Libuv.1.9.1.nupkg.sha512","SUCCESS","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"20:54:33,0615468","devenv.exe","19016","QueryNetworkOpenInformationFile","C:\Users\svto\.nuget\packages\Libuv\1.9.1\Libuv.1.9.1.nupkg.sha512","SUCCESS","CreationTime: 21-11-2016 16:10:56, LastAccessTime: 21-11-2016 16:10:56, LastWriteTime: 21-11-2016 16:10:56, ChangeTime: 21-11-2016 16:10:56, AllocationSize: 01-01-1601 02:00:00, EndOfFile: 01-01-1601 02:00:00, FileAttributes: A"
"20:54:33,0615943","devenv.exe","19016","CloseFile","C:\Users\svto\.nuget\packages\Libuv\1.9.1\Libuv.1.9.1.nupkg.sha512","SUCCESS",""
"20:54:33,0620059","devenv.exe","19016","CreateFile","C:\Users\svto\.nuget\packages\Libuv\1.9.1\Libuv.1.9.1.nupkg.sha512","SUCCESS","Desired Access: Generic Read, Disposition: Open, Options: Sequential Access, Synchronous IO Non-Alert, Non-Directory File, Open No Recall, Attributes: n/a, ShareMode: Read, AllocationSize: n/a, OpenResult: Opened"
"20:54:33,0625557","devenv.exe","19016","ReadFile","C:\Users\svto\.nuget\packages\Libuv\1.9.1\Libuv.1.9.1.nupkg.sha512","SUCCESS","Offset: 0, Length: 88, Priority: Normal"
"20:54:33,0626580","devenv.exe","19016","ReadFile","C:\Users\svto\.nuget\packages\Libuv\1.9.1\Libuv.1.9.1.nupkg.sha512","END OF FILE","Offset: 88, Length: 4.096"
"20:54:33,0627256","devenv.exe","19016","CloseFile","C:\Users\svto\.nuget\packages\Libuv\1.9.1\Libuv.1.9.1.nupkg.sha512","SUCCESS",""
"20:54:33,0633085","devenv.exe","19016","CreateFile","C:\Users\svto\.nuget\packages\Microsoft.AspNetCore.Hosting.Abstractions\1.1.1\microsoft.aspnetcore.hosting.abstractions.1.1.1.nupkg.sha512","SUCCESS","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"20:54:33,0635551","devenv.exe","19016","QueryNetworkOpenInformationFile","C:\Users\svto\.nuget\packages\Microsoft.AspNetCore.Hosting.Abstractions\1.1.1\microsoft.aspnetcore.hosting.abstractions.1.1.1.nupkg.sha512","SUCCESS","CreationTime: 10-03-2017 14:44:03, LastAccessTime: 10-03-2017 14:44:03, LastWriteTime: 10-03-2017 14:44:03, ChangeTime: 10-03-2017 14:44:03, AllocationSize: 01-01-1601 02:00:00, EndOfFile: 01-01-1601 02:00:00, FileAttributes: A"
"20:54:33,0635849","devenv.exe","19016","CloseFile","C:\Users\svto\.nuget\packages\Microsoft.AspNetCore.Hosting.Abstractions\1.1.1\microsoft.aspnetcore.hosting.abstractions.1.1.1.nupkg.sha512","SUCCESS",""
"20:54:33,0637779","devenv.exe","19016","CreateFile","C:\Users\svto\.nuget\packages\Microsoft.AspNetCore.Hosting.Abstractions\1.1.1\microsoft.aspnetcore.hosting.abstractions.1.1.1.nupkg.sha512","SUCCESS","Desired Access: Generic Read, Disposition: Open, Options: Sequential Access, Synchronous IO Non-Alert, Non-Directory File, Open No Recall, Attributes: n/a, ShareMode: Read, AllocationSize: n/a, OpenResult: Opened"
"20:54:33,0641804","devenv.exe","19016","ReadFile","C:\Users\svto\.nuget\packages\Microsoft.AspNetCore.Hosting.Abstractions\1.1.1\microsoft.aspnetcore.hosting.abstractions.1.1.1.nupkg.sha512","SUCCESS","Offset: 0, Length: 88, Priority: Normal"
"20:54:33,0642419","devenv.exe","19016","ReadFile","C:\Users\svto\.nuget\packages\Microsoft.AspNetCore.Hosting.Abstractions\1.1.1\microsoft.aspnetcore.hosting.abstractions.1.1.1.nupkg.sha512","END OF FILE","Offset: 88, Length: 4.096"
"20:54:33,0642684","devenv.exe","19016","CloseFile","C:\Users\svto\.nuget\packages\Microsoft.AspNetCore.Hosting.Abstractions\1.1.1\microsoft.aspnetcore.hosting.abstractions.1.1.1.nupkg.sha512","SUCCESS",""
"20:54:33,0645436","devenv.exe","19016","CreateFile","C:\Users\svto\.nuget\packages\Microsoft.AspNetCore.Hosting.Server.Abstractions\1.1.1\microsoft.aspnetcore.hosting.server.abstractions.1.1.1.nupkg.sha512","SUCCESS","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
